N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
78,42,42,20.13017481,81.60487287,7.628472891,262.7173405,rice
69,42,40,23.05804862,83.37011772,7.073453503,251.0550003,rice
91,50,40,25.72488146,80.52720889,6.670175325,263.7174406,rice
77,55,44,23.67798382,82.20902002,7.591135541,252.3022937,rice
76,35,35,26.04418141,80.23658728,6.974564405,271.3248603,rice
71,30,44,25.14174008,79.64890332,6.977443425,255.6391117,rice
88,40,41,20.94792523,82.84216404,6.343144295,216.5091412,rice
85,42,45,22.6748805,80.56947326,7.454503739,228.5259657,rice
75,35,40,25.52823813,79.58354739,6.670887075,217.071499,rice
78,42,42,23.00346093,82.67628175,7.07143199,253.4742192,rice
69,30,44,20.13017481,81.60487287,6.670175325,202.9355362,rice
90,42,43,23.05804862,83.37011772,7.628472891,263.9642476,rice
85,58,41,25.72488146,80.52720889,7.073453503,251.0550003,rice
60,55,44,23.67798382,82.20902002,7.591135541,252.3022937,rice
74,35,40,26.04418141,80.23658728,6.974564405,271.3248603,rice
78,42,42,25.14174008,79.64890332,6.977443425,255.6391117,rice
20,30,20,28.59580662,90.31972286,6.469009223,80.55035434,maize
30,30,30,28.37321411,90.24433834,6.560444896,83.36511437,maize
25,35,25,28.36649185,90.41545109,6.824981528,82.62809147,maize
22,30,20,28.56245138,90.20914342,6.462419175,81.60432108,maize
28,25,30,28.51552346,90.15795726,6.469009223,80.55035434,maize
26,30,25,28.37321411,90.24433834,6.560444896,83.36511437,maize
24,35,20,28.36649185,90.41545109,6.824981528,82.62809147,maize
27,30,30,28.56245138,90.20914342,6.462419175,81.60432108,maize
25,25,25,28.51552346,90.15795726,6.469009223,80.55035434,maize
